start_date,current_date,starting_pop,current_pop,female_pop_pct,male_pop_pct,sick,recovered,uninfected,dead,vacinated,wasted_vaccine,mortality_rate,infection_rate,teacher_sick_rate,hospital_worker_sick_rate,frontline_worker_sick_rate
2021-01-01,2021-02-03,2000,1996,0.5055,0.49450000000000005,46,124,1826,4,400,37,0.03125,0.087,0.0967741935483871,0.022727272727272728,0.04929577464788732
2021-01-01,2021-02-04,2000,1996,0.5055,0.49450000000000005,49,124,1823,4,400,37,0.03125,0.0885,0.0967741935483871,0.022727272727272728,0.056338028169014086
2021-01-01,2021-02-05,2000,1995,0.5055,0.49450000000000005,48,126,1821,5,400,37,0.03816793893129771,0.0895,0.0967741935483871,0.022727272727272728,0.056338028169014086
2021-01-01,2021-02-06,2000,1995,0.5055,0.49450000000000005,48,127,1820,5,400,37,0.03787878787878788,0.09,0.0967741935483871,0.022727272727272728,0.056338028169014086
2021-01-01,2021-02-07,2000,1995,0.5055,0.49450000000000005,51,129,1815,5,400,37,0.03731343283582089,0.0925,0.10752688172043011,0.022727272727272728,0.06338028169014084
2021-01-01,2021-02-08,2000,1994,0.5055,0.49450000000000005,50,131,1813,6,400,37,0.043795620437956206,0.0935,0.10752688172043011,0.022727272727272728,0.07042253521126761
2021-01-01,2021-02-09,2000,1994,0.5055,0.49450000000000005,46,137,1811,6,400,37,0.04195804195804196,0.0945,0.11827956989247312,0.022727272727272728,0.07042253521126761
2021-01-01,2021-02-10,2000,1994,0.5055,0.49450000000000005,42,142,1810,6,400,37,0.04054054054054054,0.095,0.11827956989247312,0.022727272727272728,0.07042253521126761
2021-01-01,2021-02-11,2000,1994,0.5055,0.49450000000000005,39,146,1809,6,400,37,0.039473684210526314,0.0955,0.11827956989247312,0.022727272727272728,0.07042253521126761
2021-01-01,2021-02-12,2000,1994,0.5055,0.49450000000000005,39,150,1805,6,400,37,0.038461538461538464,0.0975,0.11827956989247312,0.022727272727272728,0.08450704225352113
2021-01-01,2021-02-13,2000,1994,0.5055,0.49450000000000005,38,154,1802,6,400,37,0.0375,0.099,0.11827956989247312,0.022727272727272728,0.08450704225352113
2021-01-01,2021-02-14,2000,1994,0.5055,0.49450000000000005,41,157,1796,6,400,37,0.03680981595092025,0.102,0.12903225806451613,0.045454545454545456,0.08450704225352113
2021-01-01,2021-02-15,2000,1994,0.5055,0.49450000000000005,44,159,1791,6,400,37,0.03636363636363636,0.1045,0.12903225806451613,0.045454545454545456,0.09154929577464789
2021-01-01,2021-02-16,2000,1994,0.5055,0.49450000000000005,45,159,1790,6,600,56,0.03636363636363636,0.105,0.12903225806451613,0.045454545454545456,0.09154929577464789
2021-01-01,2021-02-17,2000,1994,0.5055,0.49450000000000005,45,164,1785,6,600,56,0.03529411764705882,0.1075,0.12903225806451613,0.045454545454545456,0.09154929577464789
2021-01-01,2021-02-18,2000,1994,0.5055,0.49450000000000005,47,165,1782,6,600,56,0.03508771929824561,0.109,0.12903225806451613,0.045454545454545456,0.09859154929577464
2021-01-01,2021-02-19,2000,1994,0.5055,0.49450000000000005,51,166,1777,6,600,56,0.03488372093023256,0.1115,0.12903225806451613,0.045454545454545456,0.1056338028169014
2021-01-01,2021-02-20,2000,1994,0.5055,0.49450000000000005,57,167,1770,6,600,56,0.03468208092485549,0.115,0.12903225806451613,0.045454545454545456,0.11267605633802817
2021-01-01,2021-02-21,2000,1994,0.5055,0.49450000000000005,59,169,1766,6,600,56,0.03428571428571429,0.117,0.12903225806451613,0.045454545454545456,0.11971830985915492
2021-01-01,2021-02-22,2000,1994,0.5055,0.49450000000000005,59,173,1762,6,600,56,0.0335195530726257,0.119,0.12903225806451613,0.045454545454545456,0.11971830985915492
2021-01-01,2021-02-23,2000,1994,0.5055,0.49450000000000005,63,175,1756,6,600,56,0.03314917127071823,0.122,0.13978494623655913,0.045454545454545456,0.1267605633802817
2021-01-01,2021-02-24,2000,1994,0.5055,0.49450000000000005,63,180,1751,6,600,56,0.03225806451612903,0.1245,0.13978494623655913,0.045454545454545456,0.13380281690140844
2021-01-01,2021-02-25,2000,1994,0.5055,0.49450000000000005,63,183,1748,6,600,56,0.031746031746031744,0.126,0.13978494623655913,0.045454545454545456,0.14084507042253522
2021-01-01,2021-02-26,2000,1994,0.5055,0.49450000000000005,65,184,1745,6,600,56,0.031578947368421054,0.1275,0.13978494623655913,0.045454545454545456,0.14788732394366197
2021-01-01,2021-02-27,2000,1994,0.5055,0.49450000000000005,63,188,1743,6,600,56,0.030927835051546393,0.1285,0.13978494623655913,0.045454545454545456,0.15492957746478872
2021-01-01,2021-02-28,2000,1994,0.5055,0.49450000000000005,64,190,1740,6,600,56,0.030612244897959183,0.13,0.13978494623655913,0.06818181818181818,0.15492957746478872
2021-01-01,2021-03-01,2000,1994,0.5055,0.49450000000000005,68,194,1732,6,600,56,0.03,0.134,0.13978494623655913,0.09090909090909091,0.1619718309859155
