start_date,current_date,starting_pop,current_pop,female_pop_pct,male_pop_pct,sick,recovered,uninfected,dead,vacinated,wasted_vaccine,mortality_rate,infection_rate,teacher_sick_rate,hospital_worker_sick_rate,frontline_worker_sick_rate
2021-01-01,2021-01-01,2000,2000,0.5055,0.49450000000000005,84,16,1900,0,0,0,0.0,0.05,0.03225806451612903,0.0,0.02112676056338028
2021-01-01,2021-01-02,2000,2000,0.5055,0.49450000000000005,82,18,1900,0,0,0,0.0,0.05,0.03225806451612903,0.0,0.02112676056338028
2021-01-01,2021-01-03,2000,2000,0.5055,0.49450000000000005,77,24,1899,0,0,0,0.0,0.0505,0.03225806451612903,0.0,0.02112676056338028
2021-01-01,2021-01-04,2000,2000,0.5055,0.49450000000000005,78,27,1895,0,0,0,0.0,0.0525,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-05,2000,2000,0.5055,0.49450000000000005,77,32,1891,0,0,0,0.0,0.0545,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-06,2000,2000,0.5055,0.49450000000000005,75,37,1888,0,0,0,0.0,0.056,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-07,2000,2000,0.5055,0.49450000000000005,70,43,1887,0,0,0,0.0,0.0565,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-08,2000,2000,0.5055,0.49450000000000005,70,48,1882,0,0,0,0.0,0.059,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-09,2000,2000,0.5055,0.49450000000000005,69,52,1879,0,0,0,0.0,0.0605,0.043010752688172046,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-10,2000,2000,0.5055,0.49450000000000005,69,54,1877,0,0,0,0.0,0.0615,0.043010752688172046,0.022727272727272728,0.028169014084507043
2021-01-01,2021-01-11,2000,2000,0.5055,0.49450000000000005,65,62,1873,0,0,0,0.0,0.0635,0.043010752688172046,0.022727272727272728,0.035211267605633804
2021-01-01,2021-01-12,2000,2000,0.5055,0.49450000000000005,63,67,1870,0,0,0,0.0,0.065,0.043010752688172046,0.022727272727272728,0.035211267605633804
2021-01-01,2021-01-13,2000,2000,0.5055,0.49450000000000005,65,68,1867,0,0,0,0.0,0.0665,0.053763440860215055,0.022727272727272728,0.04225352112676056
2021-01-01,2021-01-14,2000,2000,0.5055,0.49450000000000005,65,72,1863,0,0,0,0.0,0.0685,0.053763440860215055,0.022727272727272728,0.04225352112676056
2021-01-01,2021-01-15,2000,2000,0.5055,0.49450000000000005,64,75,1861,0,0,0,0.0,0.0695,0.06451612903225806,0.022727272727272728,0.04225352112676056
2021-01-01,2021-01-16,2000,2000,0.5055,0.49450000000000005,63,77,1860,0,0,0,0.0,0.07,0.06451612903225806,0.022727272727272728,0.04225352112676056
2021-01-01,2021-01-17,2000,2000,0.5055,0.49450000000000005,64,80,1856,0,200,16,0.0,0.072,0.06451612903225806,0.022727272727272728,0.04225352112676056
2021-01-01,2021-01-18,2000,2000,0.5055,0.49450000000000005,65,82,1853,0,200,16,0.0,0.0735,0.06451612903225806,0.022727272727272728,0.04929577464788732
