start_date,current_date,starting_pop,current_pop,female_pop_pct,male_pop_pct,sick,recovered,uninfected,dead,vacinated,wasted_vaccine,mortality_rate,infection_rate,teacher_sick_rate,hospital_worker_sick_rate,frontline_worker_sick_rate
2021-01-01,2021-01-01,2000,2000,0.5055,0.49450000000000005,84,16,1900,0,0,0,0.0,0.05,0.03225806451612903,0.0,0.02112676056338028
2021-01-01,2021-01-02,2000,2000,0.5055,0.49450000000000005,84,18,1898,0,0,0,0.0,0.051,0.03225806451612903,0.0,0.02112676056338028
2021-01-01,2021-01-03,2000,2000,0.5055,0.49450000000000005,82,23,1895,0,0,0,0.0,0.0525,0.03225806451612903,0.0,0.02112676056338028
2021-01-01,2021-01-04,2000,2000,0.5055,0.49450000000000005,80,28,1892,0,0,0,0.0,0.054,0.03225806451612903,0.0,0.02112676056338028
2021-01-01,2021-01-05,2000,2000,0.5055,0.49450000000000005,79,32,1889,0,0,0,0.0,0.0555,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-06,2000,2000,0.5055,0.49450000000000005,75,39,1886,0,0,0,0.0,0.057,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-07,2000,2000,0.5055,0.49450000000000005,72,43,1885,0,0,0,0.0,0.0575,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-08,2000,2000,0.5055,0.49450000000000005,72,47,1881,0,0,0,0.0,0.0595,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-09,2000,2000,0.5055,0.49450000000000005,71,51,1878,0,0,0,0.0,0.061,0.03225806451612903,0.022727272727272728,0.02112676056338028
2021-01-01,2021-01-10,2000,2000,0.5055,0.49450000000000005,75,52,1873,0,0,0,0.0,0.0635,0.03225806451612903,0.045454545454545456,0.02112676056338028
2021-01-01,2021-01-11,2000,2000,0.5055,0.49450000000000005,70,58,1872,0,0,0,0.0,0.064,0.03225806451612903,0.045454545454545456,0.02112676056338028
2021-01-01,2021-01-12,2000,2000,0.5055,0.49450000000000005,67,64,1869,0,0,0,0.0,0.0655,0.03225806451612903,0.045454545454545456,0.02112676056338028
2021-01-01,2021-01-13,2000,2000,0.5055,0.49450000000000005,68,66,1866,0,0,0,0.0,0.067,0.03225806451612903,0.045454545454545456,0.02112676056338028
2021-01-01,2021-01-14,2000,2000,0.5055,0.49450000000000005,70,71,1859,0,0,0,0.0,0.0705,0.043010752688172046,0.06818181818181818,0.02112676056338028
2021-01-01,2021-01-15,2000,2000,0.5055,0.49450000000000005,70,74,1856,0,0,0,0.0,0.072,0.043010752688172046,0.06818181818181818,0.02112676056338028
2021-01-01,2021-01-16,2000,2000,0.5055,0.49450000000000005,68,77,1855,0,0,0,0.0,0.0725,0.043010752688172046,0.06818181818181818,0.02112676056338028
2021-01-01,2021-01-17,2000,2000,0.5055,0.49450000000000005,69,78,1853,0,0,0,0.0,0.0735,0.043010752688172046,0.06818181818181818,0.02112676056338028
2021-01-01,2021-01-18,2000,2000,0.5055,0.49450000000000005,64,84,1852,0,0,0,0.0,0.074,0.043010752688172046,0.06818181818181818,0.02112676056338028
