start_date,current_date,starting_pop,current_pop,female_pop_pct,male_pop_pct,sick,recovered,uninfected,dead,vacinated,wasted_vaccine,mortality_rate,infection_rate,teacher_sick_rate,hospital_worker_sick_rate,frontline_worker_sick_rate
2021-01-01,2021-01-01,1000,1000,0.496,0.504,41,9,950,0,0,0,0.0,0.05,0.05128205128205128,0.12,0.09836065573770492
2021-01-01,2021-01-02,1000,1000,0.496,0.504,40,10,950,0,0,0,0.0,0.05,0.05128205128205128,0.12,0.09836065573770492
2021-01-01,2021-01-03,1000,1000,0.496,0.504,40,11,949,0,0,0,0.0,0.051,0.05128205128205128,0.12,0.09836065573770492
2021-01-01,2021-01-04,1000,1000,0.496,0.504,39,13,948,0,0,0,0.0,0.052,0.05128205128205128,0.12,0.11475409836065574
2021-01-01,2021-01-05,1000,1000,0.496,0.504,40,14,946,0,0,0,0.0,0.054,0.05128205128205128,0.12,0.11475409836065574
2021-01-01,2021-01-06,1000,1000,0.496,0.504,37,18,945,0,0,0,0.0,0.055,0.05128205128205128,0.12,0.11475409836065574
2021-01-01,2021-01-07,1000,1000,0.496,0.504,38,19,943,0,0,0,0.0,0.057,0.05128205128205128,0.12,0.11475409836065574
2021-01-01,2021-01-08,1000,1000,0.496,0.504,39,19,942,0,0,0,0.0,0.058,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-09,1000,1000,0.496,0.504,36,22,942,0,0,0,0.0,0.058,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-10,1000,1000,0.496,0.504,35,24,941,0,0,0,0.0,0.059,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-11,1000,1000,0.496,0.504,33,26,941,0,0,0,0.0,0.059,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-12,1000,1000,0.496,0.504,28,31,941,0,0,0,0.0,0.059,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-13,1000,1000,0.496,0.504,27,33,940,0,0,0,0.0,0.06,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-14,1000,1000,0.496,0.504,26,35,939,0,0,0,0.0,0.061,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-15,1000,1000,0.496,0.504,23,38,939,0,0,0,0.0,0.061,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-16,1000,1000,0.496,0.504,22,39,939,0,0,0,0.0,0.061,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-17,1000,1000,0.496,0.504,23,39,938,0,100,5,0.0,0.062,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-18,1000,1000,0.496,0.504,21,42,937,0,100,5,0.0,0.063,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-19,1000,1000,0.496,0.504,19,44,937,0,100,5,0.0,0.063,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-20,1000,1000,0.496,0.504,18,45,937,0,100,5,0.0,0.063,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-21,1000,1000,0.496,0.504,19,45,936,0,100,5,0.0,0.064,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-22,1000,1000,0.496,0.504,20,45,935,0,100,5,0.0,0.065,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-23,1000,1000,0.496,0.504,22,46,932,0,100,5,0.0,0.068,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-24,1000,1000,0.496,0.504,23,47,930,0,100,5,0.0,0.07,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-25,1000,1000,0.496,0.504,22,49,929,0,100,5,0.0,0.071,0.05128205128205128,0.12,0.13114754098360656
2021-01-01,2021-01-26,1000,1000,0.496,0.504,22,50,928,0,100,5,0.0,0.072,0.05128205128205128,0.12,0.14754098360655737
2021-01-01,2021-01-27,1000,1000,0.496,0.504,19,53,928,0,100,5,0.0,0.072,0.05128205128205128,0.12,0.14754098360655737
2021-01-01,2021-01-28,1000,1000,0.496,0.504,19,54,927,0,100,5,0.0,0.073,0.05128205128205128,0.12,0.14754098360655737
2021-01-01,2021-01-29,1000,1000,0.496,0.504,17,57,926,0,100,5,0.0,0.074,0.05128205128205128,0.12,0.16393442622950818
2021-01-01,2021-01-30,1000,1000,0.496,0.504,18,57,925,0,100,5,0.0,0.075,0.05128205128205128,0.12,0.16393442622950818
2021-01-01,2021-01-31,1000,1000,0.496,0.504,16,59,925,0,100,5,0.0,0.075,0.05128205128205128,0.12,0.16393442622950818
2021-01-01,2021-02-01,1000,1000,0.496,0.504,14,62,924,0,200,14,0.0,0.076,0.05128205128205128,0.12,0.16393442622950818
2021-01-01,2021-02-02,1000,1000,0.496,0.504,14,64,922,0,200,14,0.0,0.078,0.05128205128205128,0.12,0.18032786885245902
2021-01-01,2021-02-03,1000,1000,0.496,0.504,13,65,922,0,200,14,0.0,0.078,0.05128205128205128,0.12,0.18032786885245902
2021-01-01,2021-02-04,1000,1000,0.496,0.504,13,66,921,0,200,14,0.0,0.079,0.05128205128205128,0.12,0.18032786885245902
2021-01-01,2021-02-05,1000,1000,0.496,0.504,15,67,918,0,200,14,0.0,0.082,0.05128205128205128,0.12,0.18032786885245902
2021-01-01,2021-02-06,1000,1000,0.496,0.504,17,67,916,0,200,14,0.0,0.084,0.05128205128205128,0.12,0.18032786885245902
2021-01-01,2021-02-07,1000,1000,0.496,0.504,16,69,915,0,200,14,0.0,0.085,0.05128205128205128,0.12,0.18032786885245902
2021-01-01,2021-02-08,1000,999,0.496,0.504,15,70,914,1,200,14,0.014084507042253521,0.086,0.05128205128205128,0.12,0.18032786885245902
